name, rating, rd, vol, inactivity
whatgood 1220.0532317896061 238.33507751628912 0.08007501403864403 4
swell 1219.0025043226096 323.95595025706467 0.08007393684640707 12
auntjemina 1213.9691390166395 158.1355624190493 0.07996062067983455 1
ampersand 1211.188635193132 228.47459293531742 0.08007549372035573 0
tmah 1204.7622220940295 349.7301329337948 0.0800482907372163 12
moobesor 1204.2336345102879 292.74748231991566 0.08009352519395826 9
tomato 1192.5114708320239 203.47716202961197 0.07999179055833142 0
kandinsky 1185.5799998405237 218.8562309545706 0.08011701724384672 0
fryman 1185.108542805697 213.22408289525615 0.08013151249167988 0
spice 1184.0319270244477 271.7318545956922 0.08006785225595031 8
aids 1182.689783995987 81.59912462013251 0.07977614904330597 0
slinky 1175.6915520095533 167.86460612283759 0.08002737683341718 1
